register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon,estimated_dates,start_date,end_date
﻿99400263571,Teatre Sala Atrium,,,2011-01-24T13:56:16+01:00,2023-05-05T13:38:16.220521+02:00,,,89004,C Consell de Cent,435,,7,la Dreta de l'Eixample,2,Eixample,8009,BARCELONA,TRUE,,223311,20001,Telèfons,Tel.,931824606,TRUE,,55732068,Teatres,"Planol BCN >> Cultura i lleure >> Cinemes, teatres, auditoris >> Teatres",651,6.5103E+13,430930.3371,4583191.425,41.39729487,2.173757165,,,
﻿97330132911,Sala Sebastià Gasch,92086015078,Mercat de les Flors Centre de les Arts de Moviment,1997-11-26T00:00:00+01:00,2023-02-16T12:19:37.643347+01:00,,,178400,Lleida,59,,11,el Poble-sec,3,Sants-Montjuïc,8004,BARCELONA,TRUE,,199458,20001,Telèfons,Tel.,934261875,TRUE,,55732068,Teatres,"Planol BCN >> Cultura i lleure >> Cinemes, teatres, auditoris >> Teatres",651,6.5103E+13,429523.3534,4580234.222,41.37053826,2.157271884,,,
﻿92086010327,Teatre,92086010320,Cercle Catòlic de Gràcia,1986-04-22T00:00:00+02:00,2021-03-03T22:15:33.835304+01:00,,,317007,C Santa Magdalena,12,,31,la Vila de Gràcia,6,Gràcia,8012,BARCELONA,TRUE,,163939,20001,Telèfons,Tel.,934150370,TRUE,,55732068,Teatres,"Planol BCN >> Cultura i lleure >> Cinemes, teatres, auditoris >> Teatres",651,6.5103E+13,429200.4188,4583923.332,41.40373643,2.152979641,,,
﻿99400364152,Auditori Sant Martí,,,2014-11-24T10:27:41+01:00,2023-03-20T09:37:35.262112+01:00,,,279509,Pl Angeleta Ferrer,2,,72,Sant Martí de Provençals,10,Sant Martí,8020,BARCELONA,TRUE,,226623,20008,Telèfons,Secretaria,932565760,TRUE,Centre Cívic Sant Martí,55732070,Auditoris,"Planol BCN >> Cultura i lleure >> Cinemes, teatres, auditoris >> Auditoris",651,6.5103E+13,433071.2399,4585274.245,41.41623529,2.199134847,,,
﻿99400364152,Auditori Sant Martí,,,2014-11-24T10:27:41+01:00,2023-03-20T09:37:35.262112+01:00,,,279509,Pl Angeleta Ferrer,2,,72,Sant Martí de Provençals,10,Sant Martí,8020,BARCELONA,TRUE,,226623,20008,Telèfons,Secretaria,932565760,TRUE,Centre Cívic Sant Martí,66731068,WiFi BCN,Planol BCN >> Internet >> Punts d'accés a Internet >> WiFi BCN,651,6.5103E+13,433071.2399,4585274.245,41.41623529,2.199134847,,,
﻿92086010382,Somni'ts (Teatre Solidari),92086010375,Societat Cultural i Esportiva La Lira,1986-04-22T00:00:00+02:00,2022-09-17T04:13:00.617293+02:00,,,91403,C Coroleu,15,,60,Sant Andreu,9,Sant Andreu,8030,BARCELONA,TRUE,,163590,20001,Telèfons,Tel.,936676217,TRUE,,55732068,Teatres,"Planol BCN >> Cultura i lleure >> Cinemes, teatres, auditoris >> Teatres",651,6.5103E+13,432171.7232,4587118.839,41.43277351,2.188165402,,,
﻿92086013951,Teatre,92168172716,Centre Educatiu Jesuïtes del Clot,1986-05-06T00:00:00+02:00,2022-09-17T04:23:28.125781+02:00,,,350308,C València,680,,65,el Clot,10,Sant Martí,8027,BARCELONA,TRUE,,164741,20001,Telèfons,Tel.,933516011,TRUE,,55732068,Teatres,"Planol BCN >> Cultura i lleure >> Cinemes, teatres, auditoris >> Teatres",651,6.5103E+13,432363.5368,4584935.59,41.41312588,2.190705187,,,
﻿99400576665,Teatre Badabadoc,,,2018-02-09T12:23:53+01:00,2022-09-17T09:12:38.611529+02:00,,,272500,C Quevedo,36,,31,la Vila de Gràcia,6,Gràcia,8012,BARCELONA,TRUE,,,,,,,,,55732068,Teatres,"Planol BCN >> Cultura i lleure >> Cinemes, teatres, auditoris >> Teatres",651,6.5103E+13,429912.6528,4583863.453,41.40325953,2.161506603,,,
﻿92086003206,Teatre,92086003195,Fundació Orfeó Gracienc,1985-06-26T00:00:00+02:00,2022-09-17T03:53:07.018188+02:00,,,27302,C Astúries,83,,31,la Vila de Gràcia,6,Gràcia,8024,BARCELONA,TRUE,,160374,20001,Telèfons,Tel.,932374302,TRUE,,55732068,Teatres,"Planol BCN >> Cultura i lleure >> Cinemes, teatres, auditoris >> Teatres",651,6.5103E+13,429489.3349,4584031.293,41.40473418,2.156423192,,,
﻿92086010780,Teatre,92086010773,Ateneu Hortenc,1986-04-23T00:00:00+02:00,2023-02-01T17:03:01.404308+01:00,,,252706,C Pere Pau,8,,43,Horta,7,Horta-Guinardó,8032,BARCELONA,TRUE,,163540,20001,Telèfons,Tel.,933573040,TRUE,,55732068,Teatres,"Planol BCN >> Cultura i lleure >> Cinemes, teatres, auditoris >> Teatres",651,6.5103E+13,429835.612,4586851.178,41.43016211,2.160238462,,,
